OSM Tags,OSM Values,Constraint Type,Constraint Name
Highway,Primary,Line,Primary Road
Highway,Secondary,Line,Secondary Road
Highway,Tertiary,Line,Tertiary Road
Highway,Unclassified,Line,Road
Highway,Path,Line,Road
Highway,Trunk,Line,Road
Highway,Service,Line,Road
Highway,Residential,Line,Residential Road
Highway,Path,Line,Road
Highway,Track,Line,Track
Highway,Cycleway,Line,IGNORE
Highway,Footway,Line,IGNORE
Highway,Motorway,Line,Road
Highway,Motorway Link,Line,Road
Highway,Lanes,Line,IGNORE
Highway,Trunk Link,Line,Road
Highway,Primary Link,Line,Road
Highway,Secondary Link,Line,Road
Highway,Tertiary Link,Line,Road
Highway,Living Street,Line,IGNORE
Highway,Pedastrian,Line,IGNORE
Highway,Escape,Line,IGNORE
Highway,Raceway,Line,IGNORE
Highway,Road,Line,Road
Highway,Busway,Line,Road
Highway,Bridleway,Line,IGNORE
Highway,Steps,Line,IGNORE
Highway,Corridor,Line,IGNORE
Highway,Path,Line,Road
Footway,Sidewalk,Line,IGNORE
Footway,Crossing,Line,Road
Cycleway,Opposite,Line,Road
Cycleway,Opposite Lane,Line,Road
Cycleway,Opposite Track,Line,Road
Cycleway,Share busway,Line,Road
Cycleway,Opposite Share busway,Line,Road
Cycleway,Shared Lane,Line,Road
Busway,Lane,Line,Road
Highway,Proposed,Line,IGNORE
Highway,Construction,Line,Road
Highway,Platform,Line,IGNORE
Highway,Bus Stop,Point,IGNORE
Highway,Turning Circle,Point,IGNORE
Highway,Crossing,Point,IGNORE
Highway,Traffic Signal,Point,IGNORE
Highway,Elevator,Point,IGNORE
Highway,Emergency Bay,Point,IGNORE
Highway,Emergency Access Point,Point,IGNORE
Highway,Give way,Point,IGNORE
Highway,Milestone,Point,IGNORE
Highway,Mini Roundabout,Point,IGNORE
Highway,Motorway Junction,Point,IGNORE
Highway,Passing Place,Point,IGNORE
Highway,Platform,Point,IGNORE
Highway,Rest Area,Point,IGNORE
Highway,Speed Camera,Point,IGNORE
Highway,street_lamp,Point,IGNORE
Highway,services,Point,IGNORE
Highway,stop,Point,IGNORE
Highway,traffic_mirror,Point,IGNORE
Highway,traffic_signals,Point,IGNORE
Highway,trailhead,Point,IGNORE
Highway,turning_circle,Point,IGNORE
Highway,toll_gantry,Point,IGNORE
Highway,Turning Loop,Point,IGNORE
Highway,Rest Area,Area,IGNORE
Highway,services,Area,IGNORE
Highway,Platform,Area,IGNORE
admin_level,1,Line,Admin Boundary
admin_level,2,Line,Admin Boundary
admin_level,3,Line,Admin Boundary
admin_level,4,Line,Admin Boundary
admin_level,5,Line,Admin Boundary
admin_level,6,Line,Admin Boundary
admin_level,7,Line,Admin Boundary
admin_level,8,Line,Admin Boundary
admin_level,9,Line,Admin Boundary
admin_level,10,Line,IGNORE
admin_level,11,Line,Admin Boundary
Power,Line,Line,Grid
Natural,Water,Area,IGNORE
Natural,Mud,Area,IGNORE
Natural,Wood,Area,Forest
Natural,Coastline,Area,Coastline
Natural,Bare Rock,Area,Bedrock
Natural,Sand,Area,IGNORE
Natural,Wetland,Area,Wetland
Natural,Beach,Area,Beach
Natural,Scrub,Area,Scrub
Natural,Grassland,Area,Grassland
Natural,Coastline,Line,Coastline
Natural,Tree row,Line,IGNORE
Natural,Ridge,Line,Mountain Ridge
Barrier,"Fence, Wall",Line,IGNORE
Barrier,Cattle Grid,Point,IGNORE
Barrier,Gate,Point,IGNORE
Barrier,Border Control,Point,Building
Railways,Line,Line,Railway
Railways,Rail,Line,Railway
Railways,Abandoned,Line,Disused Railway
Waterway,River,Line,River
Waterway,Stream,Line,River
Waterway,Canal,Line,River
Waterway,Drain,Line,IGNORE
Man-Made,Bridge,Line,Bridge
Man-Made,Pier,Area,Pier
Man-Made,Pier,Line,Pier
Man-Made,Cutline,Line,IGNORE
Boundary,Postal Code,Line,IGNORE
Aeroway,Gate,Point,IGNORE
